timestamp,util.gpu,util.mem,mem.used,mem.total,power.draw
2026/02/09 09:40:38.557, 0 %, 0 %, 0 MiB, 40960 MiB, 31.85 W
2026/02/09 09:41:08.588, 0 %, 0 %, 0 MiB, 40960 MiB, 31.75 W
2026/02/09 09:41:38.619, 71 %, 43 %, 19793 MiB, 40960 MiB, 180.02 W
2026/02/09 09:42:08.648, 27 %, 16 %, 21653 MiB, 40960 MiB, 194.67 W
2026/02/09 09:42:38.681, 73 %, 45 %, 23563 MiB, 40960 MiB, 194.69 W
2026/02/09 09:43:08.711, 70 %, 43 %, 25503 MiB, 40960 MiB, 185.90 W
