timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/02/04 11:00:20.628, 0 %, 0 %, 0 MiB, 40960 MiB
2026/02/04 11:00:50.629, 0 %, 0 %, 0 MiB, 40960 MiB
2026/02/04 11:01:20.630, 0 %, 0 %, 0 MiB, 40960 MiB
2026/02/04 11:01:50.631, 0 %, 0 %, 0 MiB, 40960 MiB
2026/02/04 11:02:20.632, 0 %, 0 %, 0 MiB, 40960 MiB
2026/02/04 11:02:50.632, 0 %, 0 %, 0 MiB, 40960 MiB
2026/02/04 11:03:20.633, 0 %, 0 %, 0 MiB, 40960 MiB
2026/02/04 11:03:50.634, 0 %, 0 %, 0 MiB, 40960 MiB
2026/02/04 11:04:20.635, 0 %, 0 %, 1703 MiB, 40960 MiB
2026/02/04 11:04:50.635, 0 %, 0 %, 1871 MiB, 40960 MiB
2026/02/04 11:05:20.636, 0 %, 0 %, 1871 MiB, 40960 MiB
2026/02/04 11:05:50.637, 0 %, 0 %, 3383 MiB, 40960 MiB
2026/02/04 11:06:20.637, 0 %, 0 %, 3635 MiB, 40960 MiB
2026/02/04 11:06:50.638, 0 %, 0 %, 4223 MiB, 40960 MiB
2026/02/04 11:07:20.639, 0 %, 0 %, 4223 MiB, 40960 MiB
2026/02/04 11:07:50.640, 0 %, 0 %, 4643 MiB, 40960 MiB
2026/02/04 11:08:20.640, 0 %, 0 %, 4811 MiB, 40960 MiB
2026/02/04 11:08:50.641, 0 %, 0 %, 5483 MiB, 40960 MiB
2026/02/04 11:09:20.642, 0 %, 0 %, 5483 MiB, 40960 MiB
2026/02/04 11:09:50.643, 0 %, 0 %, 6103 MiB, 40960 MiB
2026/02/04 11:10:20.643, 0 %, 0 %, 6323 MiB, 40960 MiB
2026/02/04 11:10:50.644, 0 %, 0 %, 6491 MiB, 40960 MiB
2026/02/04 11:11:20.645, 0 %, 0 %, 7363 MiB, 40960 MiB
2026/02/04 11:11:50.646, 0 %, 0 %, 9043 MiB, 40960 MiB
2026/02/04 11:12:20.646, 0 %, 0 %, 10271 MiB, 40960 MiB
2026/02/04 11:12:50.647, 0 %, 0 %, 10523 MiB, 40960 MiB
2026/02/04 11:13:20.648, 0 %, 0 %, 10691 MiB, 40960 MiB
2026/02/04 11:13:50.649, 0 %, 0 %, 10943 MiB, 40960 MiB
2026/02/04 11:14:20.650, 0 %, 0 %, 11111 MiB, 40960 MiB
2026/02/04 11:14:50.650, 0 %, 0 %, 12423 MiB, 40960 MiB
2026/02/04 11:15:20.651, 0 %, 0 %, 13715 MiB, 40960 MiB
2026/02/04 11:15:50.652, 0 %, 0 %, 15915 MiB, 40960 MiB
