timestamp,util.gpu,util.mem,mem.used,mem.total,power.draw
2026/02/04 16:36:53.299, 0 %, 0 %, 0 MiB, 40960 MiB, 34.83 W
2026/02/04 16:37:23.334, 0 %, 0 %, 0 MiB, 40960 MiB, 34.43 W
2026/02/04 16:37:53.364, 70 %, 42 %, 19545 MiB, 40960 MiB, 148.85 W
2026/02/04 16:38:23.394, 69 %, 42 %, 19545 MiB, 40960 MiB, 176.50 W
2026/02/04 16:38:53.422, 72 %, 44 %, 19545 MiB, 40960 MiB, 198.34 W
2026/02/04 16:39:23.451, 100 %, 54 %, 21365 MiB, 40960 MiB, 233.58 W
2026/02/04 16:39:53.485, 71 %, 43 %, 21365 MiB, 40960 MiB, 204.01 W
