timestamp,util.gpu,util.mem,mem.used,mem.total,power.draw
2026/02/09 10:04:52.769, 0 %, 0 %, 0 MiB, 40960 MiB, 32.39 W
2026/02/09 10:05:22.800, 0 %, 0 %, 0 MiB, 40960 MiB, 32.31 W
2026/02/09 10:05:52.818, 0 %, 0 %, 0 MiB, 40960 MiB, 32.21 W
2026/02/09 10:06:22.866, 1 %, 0 %, 5903 MiB, 40960 MiB, 34.37 W
2026/02/09 10:06:52.900, 0 %, 0 %, 10523 MiB, 40960 MiB, 34.39 W
2026/02/09 10:07:22.929, 0 %, 0 %, 16377 MiB, 40960 MiB, 34.18 W
2026/02/09 10:07:52.958, 69 %, 42 %, 19631 MiB, 40960 MiB, 180.56 W
2026/02/09 10:08:22.986, 72 %, 45 %, 23261 MiB, 40960 MiB, 176.21 W
2026/02/09 10:08:53.015, 72 %, 44 %, 23261 MiB, 40960 MiB, 191.91 W
2026/02/09 10:09:23.043, 69 %, 42 %, 25121 MiB, 40960 MiB, 176.90 W
