timestamp,util.gpu,util.mem,mem.used,mem.total,power.draw
2026/02/09 08:54:17.473, 0 %, 0 %, 0 MiB, 40960 MiB, 31.83 W
2026/02/09 08:54:47.517, 0 %, 0 %, 0 MiB, 40960 MiB, 31.81 W
2026/02/09 08:55:17.572, 0 %, 0 %, 4223 MiB, 40960 MiB, 33.81 W
2026/02/09 08:55:47.615, 1 %, 0 %, 10523 MiB, 40960 MiB, 33.90 W
2026/02/09 08:56:17.646, 75 %, 46 %, 20045 MiB, 40960 MiB, 156.28 W
2026/02/09 08:56:47.689, 72 %, 43 %, 20045 MiB, 40960 MiB, 192.84 W
2026/02/09 08:57:17.735, 72 %, 44 %, 20045 MiB, 40960 MiB, 194.34 W
2026/02/09 08:57:47.797, 100 %, 52 %, 22105 MiB, 40960 MiB, 238.59 W
2026/02/09 08:58:17.854, 0 %, 0 %, 22105 MiB, 40960 MiB, 39.26 W
